report_id,pair_type,exact_match_normalized,chrf_pt_pt,cosine_pt_pt,bertscore_f1_pt_pt,category_match,measures_match,laterality_match,negation_match,duplicate_structural_instability,requires_mqm_review
RPT_000721,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000722,effective_duplicate,False,98.227,1.0,0.9982,True,True,True,True,False,False
RPT_000723,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000724,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000725,effective_duplicate,False,94.161,0.999,0.9929,True,True,True,False,True,True
RPT_000726,effective_duplicate,True,99.325,1.0,0.9988,True,True,True,True,False,False
RPT_000727,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000728,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000729,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000730,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000731,effective_duplicate,False,84.898,0.991,0.9758,True,True,True,True,False,False
RPT_000732,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000733,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000734,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000735,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000736,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000737,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000738,effective_duplicate,False,97.931,0.9987,0.998,True,True,True,True,False,False
RPT_000739,effective_duplicate,False,94.325,0.9907,0.9922,True,True,True,True,False,False
RPT_000740,effective_duplicate,False,98.35,1.0,0.9967,True,True,True,True,False,False
RPT_000741,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000742,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000743,effective_duplicate,False,86.866,0.9976,0.9809,True,True,True,True,False,False
RPT_000744,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000745,effective_duplicate,False,95.608,0.9966,0.9971,True,True,True,True,False,False
RPT_000746,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000747,effective_duplicate,False,83.669,0.9875,0.9812,True,True,True,True,False,False
RPT_000748,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000749,effective_duplicate,False,90.662,0.9794,0.9847,True,True,True,True,False,False
RPT_000750,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000751,effective_duplicate,True,100.0,1.0,1.0,True,True,True,True,False,False
RPT_000752,effective_duplicate,False,97.499,0.9928,0.991,True,True,True,True,False,False
RPT_000753,effective_duplicate,False,96.99,0.9994,0.9977,True,True,True,True,False,False
RPT_000754,effective_duplicate,False,97.493,0.9992,0.9974,True,True,True,True,False,False
RPT_000755,effective_duplicate,False,95.587,0.9911,0.9936,True,True,True,True,False,False
RPT_000756,effective_duplicate,False,96.858,0.9994,0.9959,True,True,True,True,False,False
