report_id,valid,effective,strict,exclusion_reason,pair_type
RPT_000721,True,True,False,,effective_duplicate
RPT_000722,True,True,False,,effective_duplicate
RPT_000723,True,True,False,,effective_duplicate
RPT_000724,True,True,False,,effective_duplicate
RPT_000725,True,True,False,,effective_duplicate
RPT_000726,True,True,False,,effective_duplicate
RPT_000727,True,True,False,,effective_duplicate
RPT_000728,True,True,False,,effective_duplicate
RPT_000729,True,True,False,,effective_duplicate
RPT_000730,True,True,False,,effective_duplicate
RPT_000731,True,True,False,,effective_duplicate
RPT_000732,True,True,False,,effective_duplicate
RPT_000733,True,True,False,,effective_duplicate
RPT_000734,True,True,False,,effective_duplicate
RPT_000735,True,True,False,,effective_duplicate
RPT_000736,True,True,False,,effective_duplicate
RPT_000737,True,True,False,,effective_duplicate
RPT_000738,True,True,False,,effective_duplicate
RPT_000739,True,True,False,,effective_duplicate
RPT_000740,True,True,False,,effective_duplicate
RPT_000741,True,True,False,,effective_duplicate
RPT_000742,True,True,False,,effective_duplicate
RPT_000743,True,True,False,,effective_duplicate
RPT_000744,True,True,False,,effective_duplicate
RPT_000745,True,True,False,,effective_duplicate
RPT_000746,True,True,False,,effective_duplicate
RPT_000747,True,True,False,,effective_duplicate
RPT_000748,True,True,False,,effective_duplicate
RPT_000749,True,True,False,,effective_duplicate
RPT_000750,True,True,False,,effective_duplicate
RPT_000751,True,True,False,,effective_duplicate
RPT_000752,True,True,False,,effective_duplicate
RPT_000753,True,True,False,,effective_duplicate
RPT_000754,True,True,False,,effective_duplicate
RPT_000755,True,True,False,,effective_duplicate
RPT_000756,True,True,False,,effective_duplicate
RPT_000757,True,True,False,,effective_duplicate
RPT_000758,True,True,False,,effective_duplicate
RPT_000759,True,True,False,,effective_duplicate
RPT_000760,True,True,False,,effective_duplicate
RPT_000761,True,True,False,,effective_duplicate
RPT_000762,True,True,False,,effective_duplicate
RPT_000763,True,True,False,,effective_duplicate
RPT_000764,True,True,False,,effective_duplicate
RPT_000765,True,True,False,,effective_duplicate
RPT_000766,True,True,False,,effective_duplicate
RPT_000767,True,True,False,,effective_duplicate
RPT_000768,True,True,False,,effective_duplicate
RPT_000769,True,True,False,,effective_duplicate
RPT_000770,True,True,False,,effective_duplicate
RPT_000771,True,True,False,,effective_duplicate
RPT_000772,True,True,False,,effective_duplicate
RPT_000773,True,True,False,,effective_duplicate
RPT_000774,True,True,False,,effective_duplicate
RPT_000775,True,True,False,,effective_duplicate
RPT_000776,True,True,False,,effective_duplicate
RPT_000777,True,True,False,,effective_duplicate
RPT_000778,True,True,False,,effective_duplicate
RPT_000779,True,True,False,,effective_duplicate
RPT_000780,True,True,False,,effective_duplicate
RPT_000781,True,True,False,,effective_duplicate
RPT_000782,True,True,False,,effective_duplicate
RPT_000783,True,True,False,,effective_duplicate
RPT_000784,True,True,False,,effective_duplicate
RPT_000785,True,True,False,,effective_duplicate
RPT_000786,True,True,False,,effective_duplicate
RPT_000787,True,True,False,,effective_duplicate
RPT_000788,True,True,False,,effective_duplicate
RPT_000789,True,True,False,,effective_duplicate
RPT_000790,True,True,False,,effective_duplicate
RPT_000791,True,True,False,,effective_duplicate
RPT_000792,True,True,False,,effective_duplicate
RPT_000793,True,True,False,,effective_duplicate
RPT_000794,True,True,False,,effective_duplicate
RPT_000795,True,True,False,,effective_duplicate
RPT_000796,True,True,False,,effective_duplicate
RPT_000797,True,True,False,,effective_duplicate
RPT_000798,True,True,False,,effective_duplicate
RPT_000799,True,True,False,,effective_duplicate
RPT_000800,True,True,False,,effective_duplicate
RPT_000801,True,True,False,,effective_duplicate
RPT_000802,True,True,False,,effective_duplicate
RPT_000803,True,True,False,,effective_duplicate
RPT_000804,True,True,False,,effective_duplicate
RPT_000805,True,True,False,,effective_duplicate
RPT_000806,True,True,False,,effective_duplicate
RPT_000807,True,True,False,,effective_duplicate
RPT_000808,True,True,False,,effective_duplicate
RPT_000809,True,True,False,,effective_duplicate
RPT_000810,True,True,False,,effective_duplicate
RPT_000811,True,True,False,,effective_duplicate
RPT_000812,True,True,False,,effective_duplicate
RPT_000813,True,True,False,,effective_duplicate
RPT_000814,True,True,False,,effective_duplicate
RPT_000815,True,True,False,,effective_duplicate
RPT_000816,True,True,False,,effective_duplicate
RPT_000817,True,True,False,,effective_duplicate
RPT_000818,True,True,False,,effective_duplicate
RPT_000819,True,True,False,,effective_duplicate
RPT_000820,True,True,False,,effective_duplicate
